#{"t_start": 1755810326.851637, "env_id": "None"}
r,l,t
1310.173723,1000,846.680611
1114.091781,740,847.090177
775.079907,602,847.455305
1198.426584,922,848.913094
1088.015831,1000,849.408168
853.486727,748,850.729802
654.153814,742,851.092289
864.048312,627,851.401604
830.305218,588,851.717128
1030.008511,792,853.037181
759.40529,629,853.376144
770.744283,634,853.713804
635.092132,634,854.89207
1040.729703,716,855.25165
1183.162828,1000,856.683396
982.418924,729,857.038561
903.335678,697,857.37289
733.881282,702,858.712395
1070.056045,1000,859.202538
1050.244871,642,859.514521
1010.500933,716,860.896836
686.408858,636,861.210488
896.572993,782,862.569781
875.445199,698,862.909677
1038.309496,905,863.344722
1098.254318,868,864.723044
962.28382,1000,865.221792
1408.296482,839,866.621645
1206.12234,1000,867.106893
1031.684747,711,867.450378
1010.08556,656,868.732042
1089.666948,841,869.141718
1175.647541,1000,884.257515
1011.795852,1000,884.736137
787.601386,581,885.018306
1505.582933,1000,886.478492
1087.240365,733,886.827864
978.128207,904,888.269667
673.542719,536,876.796953
1110.272755,1000,877.310825
1065.090962,711,876.617129
946.373912,605,876.924739
1296.760926,899,878.309661
1094.373207,709,878.647124
1098.364549,1000,879.154101
1230.947903,806,880.436841
989.520141,768,880.819424
1181.979384,1000,882.259966
1022.008882,1000,882.743529
866.385971,839,884.174688
840.945842,696,884.511811
818.147238,642,884.819814
1080.652793,908,886.243523
1252.555553,1000,886.742064
972.549302,978,888.145367
712.256254,602,888.436265
1107.978296,1000,888.932552
1291.895204,1000,890.478018
1330.037862,949,890.947593
1018.257553,1000,892.404533
868.422096,708,892.744792
1202.669883,736,894.046827
908.409902,630,894.385017
806.032507,718,894.733889
592.897408,425,894.942335
925.839293,738,896.241308
1086.864308,819,896.638069
846.138943,629,896.942971
754.932252,550,898.108317
980.861449,904,898.552434
858.939013,698,899.866724
850.702506,594,900.195081
1218.181792,677,914.265234
557.056923,417,900.778599
842.111523,557,902.035154
892.303228,768,902.403278
821.724021,700,902.744797
540.52805,412,903.910619
728.514273,717,904.263004
1114.047691,687,904.599607
721.101468,694,905.900151
1571.553286,1000,906.398376
915.076955,570,906.675769
1010.879082,664,907.922146
1296.744255,975,908.428025
1452.812967,745,908.784775
828.02235,677,909.999521
976.502404,710,910.352428
991.660797,709,911.654024
1130.213577,865,912.070032
749.632907,587,912.359843
1229.362109,789,913.765793
829.057834,679,914.096458
1009.00413,624,914.399268
863.957546,580,915.565531
958.543969,612,915.876071
983.998354,1000,916.363782
1320.968272,1000,917.817259
788.231149,697,918.167376
1255.603295,1000,919.554506
761.166757,607,919.84701
1133.633956,696,920.182419
717.247421,644,921.382597
1215.834436,797,921.778123
992.801446,657,922.112168
1178.464621,700,923.338679
786.222488,581,923.621655
1236.328815,725,923.971802
1157.422157,863,925.478783
1124.877032,666,925.827852
970.732074,607,926.125029
846.661813,603,927.391971
922.11811,601,927.680609
744.641325,620,927.979496
1133.396743,938,929.409672
1035.834799,790,929.800834
998.88726,789,930.187042
1082.683489,1000,931.572926
656.392308,384,931.762412
841.90274,645,932.077265
1406.916389,741,933.423041
858.054632,672,933.755362
1317.83912,912,935.173253
1300.986818,707,935.528286
1324.333531,1000,936.039196
1216.555635,662,937.326635
1242.367759,916,937.775979
1268.658603,1000,939.20022
644.889413,407,939.401316
840.288696,579,939.688102
878.838596,681,940.025872
1290.26502,822,941.394412
1507.649906,812,941.79658
1260.610627,1000,943.200571
1003.454708,597,943.500003
855.682521,1000,944.945814
821.96352,663,945.293237
1023.73578,696,959.336998
700.47288,702,946.965454
982.349322,669,947.284132
1071.071338,669,947.632148
964.721023,758,949.016855
764.802906,615,949.307572
966.570459,668,949.637407
1074.135589,711,950.924792
881.016452,643,951.232979
